,,,RID,smiles
445,,ketone,R1951,*c1c2c(=O)n(*)c(=O)c2cc2c(=O)n(*)c(=O)c12
447,,ketone,R1968,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)=O
448,,ketone,R1970,*c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1
449,,ketone,R1971,*c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1
450,,acid,R1975,*CCCCCCS(=O)(=O)c1ccc(C=*)cc1
451,,ketone,R1986,*c1cccc(P(=O)(O)O)c1
452,,ketone,R1987,*c1cccc(P(=O)(c2cccc(*)c2)c2cc(*)cc(*)c2)c1
453,,ketone,R1988,*c1ccc(P(=O)(c2cccc(*)c2)c2cccc(*)c2)cc1
454,,ketone,R1990,*n1c(=O)c2sc3c(=O)n(*)c(=O)c3sc2c1=O
455,,ketone,R1992,*c1cccc(P(C)(=O)c2cccc(*)c2)c1
456,,ketone,R1993,*c1ccc(P(=O)(c2ccccc2)c2ccccc2)c(*)c1
457,,ketone,R2001,*n1c(=O)c2c(F)c3c(=O)n(*)c(=O)c3c(F)c2c1=O
458,,ketone,R2008,*c1ccc(S(=O)(=O)c2ccc(C)cc2)cc1
460,,ketone,R2026,*C(=O)C(C)(C)Br
464,,ketone,R2046,*C=CC1CC(*)C2(Cl)OC(=O)OC12Cl
465,,ketone,R2051,*CC(C)(C*)C(*)=O
466,,ketone,R2055,*C(=O)CO
467,,ketone,R2056,*C(=O)CCCCCO
468,,ketone,R2074,*NS(=O)N*
469,,ketone,R2076,*N=P(N=P(N=S(*)(=O)NC)(NC)NC)(NC)NC
470,,ketone,R2077,*N=P(N=P(N=S(*)(=O)N*)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1
471,,ketone,R2078,*N=P(N=P(N=S(*)(=O)N*)(NCC)NCC)(NCC)NCC
472,,ketone,R2079,*N=P(N=P(N=S(*)(=O)N*)(NCCC)NCCC)(NCCC)NCCC
473,,ketone,R2080,*N=P(N=P(N=S(*)(=O)N*)(NCCCC)NCCCC)(NCCCC)NCCCC
474,,ketone,R2081,*N=P(N=P(N=S(*)(=O)N*)(NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC
475,,ketone,R2082,*N=P(N=P(N=S(*)(=O)N*)(NCC=C)NCC=C)(NCC=C)NCC=C
476,,ketone,R2085,*NC1=C(C(*)=O)CC(*)=C(C(*)=O)C1
477,,ketone,R2086,*N=P(*)(NCCCC)NCCCC
478,,ketone,R2087,*N=P(*)(c1ccccc1)c1ccccc1
479,,ketone,R2088,*N=P(*)(CC)CC
480,,ketone,R2089,*N=P(*)(C)c1ccccc1
481,,ketone,R2090,*N=P(*)(CC)c1ccccc1
482,,ketone,R2091,*N=P(*)(NCCC)N(CC)CC
483,,ketone,R2092,*N=P(*)(NCCC)NCCC
484,,ketone,R2095,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
485,,ketone,R2096,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
486,,ketone,R2097,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
487,,ketone,R2098,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
488,,ketone,R2105,*CCP(Cl)(Cl)=Nc1ccc(N=P(*)(Cl)Cl)cc1
489,,ketone,R2106,*CCP(=Nc1ccc(N=P(*)(O*)O*)cc1)(O*)O*
492,,ketone,R2116,*C(=O)CCCCCCCCC=C
493,,ketone,R2117,*C(=O)CCCCCCCCCCO
494,,ketone,R2135,*c1ccc(C#Cc2ccc(S(*)(=O)=O)cc2)cc1
495,,ketone,R2140,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)(=O)Cl
496,,ketone,R2141,*N=P(Cl)(Cl)N=P(Cl)(Cl)N=S(*)(=O)F
497,,ketone,R2145,*N=P(*)(C)CCCC
498,,ketone,R2146,*N=P(*)(C)CCCCCC
499,,acid,R2158,*C1CN(CP(=O)(O)O)CC1*
500,,acid,R2159,*C1CN(C(P(=O)(O)O)P(=O)(O)O)CC1*
501,,ketone,R2163,*C=CC(*)=O
502,,ketone,R2170,*N=P(*)=S
503,,ketone,R2177,*N=P(N=P(N=S(*)(=O)N*)(NCCCCCCC)NCCCCCCC)(NCCCCCCC)NCCCCCCC
504,,ketone,R2184,*S(=O)(=O)C(=*)C#N
506,,ketone,R2209,*C=NN(CCCC)c1ccc(S(=O)(=O)c2ccc(N(CCCC)N=Cc3ccc4c(c3)c3cc(*)ccc3n4*)cc2)cc1
508,,ketone,R2218,*C(=O)C(*)(*)C(F)(F)F
509,,acid,R2247,*C(=O)CP(=O)(O)O
510,,ketone,R2250,*N=P(*)(CCC)CCC
511,,ketone,R2251,*N=P(*)(NC(C)C(*)=O)NC(C)C(*)=O
512,,ketone,R2257,*C(=O)C1=C(C(*)=O)C2CC1C(*)C2*
513,,ketone,R2261,*C(=O)C1=C(*)C2C=CC1C2
514,,ketone,R2262,*CC(CC)S(*)(=O)=O
515,,ketone,R2263,*CC(CCCC)S(*)(=O)=O
516,,ketone,R2264,*OS(=O)(=O)c1cccc(P(C)(=O)c2cccc(S(=O)(=O)O*)c2)c1
517,,ketone,R2265,*CCCS(*)=O
518,,ketone,R2266,*OS(=O)(=O)c1cc(C)c(*)c(C)c1
519,,ketone,R2267,*OS(=O)(=O)c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)O*)cc2)cc1
520,,ketone,R2268,*c1cccc2c(S(*)(=O)=O)cccc12
521,,ketone,R2269,*c1ccc2ccc(S(*)(=O)=O)cc2c1
522,,ketone,R2270,*C1CCC(S(*)(=O)=O)CC1
523,,ketone,R2271,*OS(=O)(=O)c1ccc(C)c(S(=O)(=O)O*)c1
524,,ketone,R2272,*S(=O)(=O)C(C=*)CC
525,,ketone,R2273,*S(=O)(=O)C(C)C(=*)C
526,,ketone,R2274,*S(=O)(=O)C(C)C=*
527,,ketone,R2276,*S(=O)(=O)CC(=*)C
528,,ketone,R2277,*S(=O)(=O)CC=*
529,,ketone,R2278,*CC(CC(C)C)S(*)(=O)=O
530,,ketone,R2279,*C1C2CCC(C2)C1S(*)(=O)=O
531,,ketone,R2280,*c1cc(C)c(S(*)(=O)=O)c(C)c1
532,,ketone,R2281,*CC(C*)S(*)(=O)=O
533,,ketone,R2282,*C1=C(CCCCCC)C(CCCCCC)=C(c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc(*)ccc2-3)S1(=O)=O
534,,ketone,R2283,*c1ccc(*)c(S(*)(=O)=O)c1
535,,acid,R2284,*CCCCCCCCCCS(=O)(=O)O
537,,ketone,R2287,*C1C=CC(S(*)(=O)=O)C1
538,,ketone,R2288,*C1C=CC(S(*)(=O)=O)CC1
539,,ketone,R2290,*C(=O)C(*)(C#N)C(*)(C#N)C(*)=O
540,,acid,R2333,*c1cc(N=Nc2ccc(S(=O)(=O)O)cc2)cc(*)c1O
541,,ketone,R2360,*CCCP(*)(=S)c1ccccc1
542,,ketone,R2361,*CCCCP(*)(=S)c1ccccc1
543,,acid,R2365,*C(F)(F)C(*)(F)C(F)(F)P(=O)(O)O
544,,ketone,R2378,*C(=S)c1ccc(*)s1
545,,ketone,R2379,*c1ccc(C(=S)c2ccc(*)s2)s1
547,,ketone,R2381,*C(=S)c1ccc(*)cc1
549,,ketone,R2383,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1
550,,ketone,R2384,*c1ccc(C(=S)c2ccc(*)s2)cc1
551,,ketone,R2385,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1
552,,ketone,R2386,*c1ccc(C(=S)c2ccc(*)cc2)cc1
555,,ketone,R2389,*CC(*)=S
556,,ketone,R2390,*C(=O)C(*)=S
557,,ketone,R2393,*CCCC(*)=S
559,,ketone,R2404,*CC(=S)c1ccc(C(*)=S)s1
560,,ketone,R2405,*CC(=S)c1ccc(*)s1
561,,ketone,R2406,*CC(=S)c1ccc(C(*)=S)cc1
562,,ketone,R2407,*CC(=S)c1ccc(*)cc1
563,,ketone,R2408,*CC(=S)CC(*)=S
564,,ketone,R2409,*CC(=S)C*
565,,ketone,R2411,*CC(=S)C(*)=O
577,,ketone,R2429,*C(=O)C(=S)c1ccc(*)s1
578,,ketone,R2430,*C(=O)C(=S)c1ccc(*)cc1
579,,ketone,R2431,*C(=O)C(=S)C(*)=O
591,,ketone,R2448,*C(=S)C(*)(F)F
592,,ketone,R2449,*C(=O)CC(F)(F)C(*)(F)F
593,,ketone,R2450,*C(=S)CC(F)(F)C(*)(F)F
594,,ketone,R2451,*C(=O)C(F)(F)C(*)(F)F
596,,ketone,R2455,*C(=O)C(F)(F)CC(*)(F)F
597,,ketone,R2456,*C(=S)C(F)(F)CC(*)(F)F
598,,ketone,R2459,*C(F)(F)C(=S)C(*)(F)F
599,,ketone,R2470,*c1ccc2c(c1)nc1n2Cc2ccc3c4c2c-1ccc4c(=O)n1c2ccc(*)cc2nc31
601,,ketone,R2477,*On1c(=O)c2c(F)c3c(=O)n(*)c(=O)c3c(F)c2c1=O
602,,ketone,R2481,*c1ccc2c1cc1c3ccc4c(=O)n(*)c(=O)c4cc-3c(=O)n12
603,,ketone,R2482,*c1ccc2c(c1)c1cccnc1n2-n1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
604,,ketone,R2491,*On1c(=O)c2cc3c(=O)n(*)c(=O)c3cc2c1=O
605,,ketone,R2505,*C(=O)C(=S)c1ccc(C(=S)c2ccc(*)s2)s1
606,,ketone,R2506,*CC(=S)c1ccc(C(=S)C*)s1
607,,ketone,R2525,*C(=O)C(*)(*)C
608,,ketone,R2526,*C(=O)C(*)(*)Cl
609,,ketone,R2528,*CC(*)(Br)C(*)=O
610,,ketone,R2529,*CC(*)(C(*)=O)C(C)C
611,,ketone,R2530,*CC(*)(C(*)=O)C(*)=O
612,,ketone,R2565,*n1c(=O)c2cc3sc4cc5c(=O)n(*)c(=O)c5cc4sc3cc2c1=O
613,,ketone,R2566,*c1cc(C)c2c(c1)S(=O)(=O)c1cc(*)c(C)cc1-2
614,,ketone,R2576,*N=P(N=P(*)(O*)O*)(O*)O*
615,,ketone,R2585,*c1ccc(S(=C)(=C)c2ccc(*)cc2)cc1
616,,ketone,R2587,*n1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(CC5(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
618,,ketone,R2618,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2c(cc1O3)S(=O)(=O)c1cc3c(cc1S2(=O)=O)Oc1cc2c(*)cccc2cc1O3
619,,ketone,R2620,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3oc4c(S(=O)(=O)CC)c5oc6cc7c(cc6oc5c(S(=O)(=O)CC)c4oc3cc21)C1(CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3)CC7(C)C
620,,ketone,R2625,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(*)c(*)c(*)c(S(=O)(=O)c2ccccc2)c1O3
621,,ketone,R2627,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2c(cc1O3)S(=O)(=O)c1cc3c(cc1S2(=O)=O)Oc1cc2c(cc1O3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3
622,,ketone,R2628,*n1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)C1(C(C)C)c2cc3oc4cc6c(=O)n(*)c(=O)c6cc4oc3cc2C12c1ccccc1C52C(C)C
623,,ketone,R2637,*c1cc2c(cc1*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(*)c(=O)c5cc4oc3cc21
624,,ketone,R2642,*C(=O)CC(*)C(Cl)Cl
625,,ketone,R2656,*OS(=O)(=O)c1ccc(F)cc1
626,,ketone,R2662,*c1ccc(S(=O)(=O)c2ccc(*)cc2[Si](C)(C)C)c([Si](C)(C)C)c1
627,,ketone,R2676,*OS(=O)c1ccc(*)cc1
628,,ketone,R2699,*=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=*)Cl
629,,ketone,R2736,*C(=O)C(CCCCCCCCCCBr)C(*)=O
630,,ketone,R2737,*O[Si](C)(C)CCCC(*)=O
631,,ketone,R2738,*C(=O)CCC[Si](*)(C)C
632,,ketone,R2776,*c1c(*)c2c(=O)n(*)c(=O)c2c2c(=O)n(*)c(=O)c12
633,,ketone,R2779,*c1cc2c(=O)n(*)c(=O)c3ccc4c5c(*)cc6c(=O)n(*)c(=O)c7ccc(c1c4c32)c5c76
634,,ketone,R2801,*OC(=*)N=P(N=P(N=*)(O*)O*)(O*)O*
635,,ketone,R2874,*O[Si](*)(C)CCCCCCCCCCC(*)=O
637,,ketone,R2952,*CC(*)(Cl)CC(*)=O
638,,ketone,R2974,*C(=O)CCCO
639,,ketone,R2977,*C(=O)C(*)C(*)(F)F
640,,ketone,R2984,*c1ccc(S(=O)(=O)c2ccc3ccc(*)cc3c2)cc1
641,,ketone,R2987,*c1ccc(S(=O)S(=O)c2ccc(*)cc2)cc1
642,,ketone,R2990,*C(=O)C(CC)C(*)=O
643,,ketone,R2992,*C(=O)C(C)CC(C)(C)C(*)=O
644,,ketone,R2993,*CC(C)(C)CS(=O)(=O)CC(C)(C)CC(*)=O
645,,ketone,R3005,*C(=O)C(*)C(*)(C)C(*)=O
646,,ketone,R3006,*C(=O)C(*)(C)C(*)F
647,,ketone,R3007,*CC(*)C(C(*)=O)C(*)=O
648,,ketone,R3008,*C(=O)C(=*)C(*)=O
649,,ketone,R3009,*C(=O)C(*)C(*)Cl
650,,ketone,R3011,*CCC(C)C(*)C(*)=O
651,,ketone,R3016,*CC(*)(*)[PH](=O)O*
652,,ketone,R3077,*O[SH](=O)=O
653,,ketone,R3140,*c1ccc(S(=O)(=O)c2ccc(*)cc2[N-][N+]#N)cc1
654,,ketone,R3142,*c1ccc(S(=O)(=O)c2ccc(*)cc2[N-][N+]#N)c([N-][N+]#N)c1
656,,ketone,R3171,*c1ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)s1
657,,ketone,R3172,*c1ccc([Si](C)(C)c2ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)s2)s1
659,,ketone,R3237,*CS(=O)(=O)C1CC(*)C[N+](C)(C)C1
660,,ketone,R3243,*c1cc[n+](OS(=O)(=O)c2cc(*)c(*)cc2*)cc1
661,,ketone,R3254,*O[Si](*)(C)CCCC(*)=O
662,,ketone,R3294,*O[Si](*)(C)CCCCC(*)=O
663,,ester,R3313,*c1ccc([Si](*)(C)OS(=O)(=O)C(F)(F)F)cc1
